Product_ID,Category,Unit_Cost,Current_Stock,Daily_Demand_Est,Safety_Stock_Target,Vendor_Name,Lead_Time_Days,Reorder_Point,Stock_Status,Inventory_Value
SKU-Y7180,Shipping,435.45,2068.0,90.0,780,Hokkaido Foods,30,3480.0,Low Stock,900510.6
SKU-X3492,Shipping,67.49,457.0,76.0,708,Tokyo Electronics,30,2988.0,Low Stock,30842.929999999997
SKU-Z3529,Electronics,391.86,1413.0,34.0,318,Kyoto Crafts,23,1100.0,Normal Stock,553698.18
SKU-X9864,Electronics,38.87,1396.0,81.0,955,Osaka Supplies,10,1765.0,Low Stock,54262.52
SKU-X3725,Apparel,452.19,20.0,6.0,55,Hokkaido Foods,14,139.0,Low Stock,9043.8
SKU-B3868,Electronics,436.07,2388.0,,942,Osaka Supplies,21,,Normal Stock,1041335.16
SKU-X5712,Apparel,83.2,3377.0,57.0,776,Osaka Supplies,12,1460.0,Normal Stock,280966.4
SKU-X8916,Electronics,260.41,2739.0,46.0,507,Fukuoka Logistics,12,1059.0,Normal Stock,713262.9900000001
SKU-A9138,Industrial,388.99,634.0,30.0,337,Hokkaido Foods,23,1027.0,Low Stock,246619.66
SKU-B2591,Apparel,254.1,1247.0,57.0,412,Nagoya Parts,7,811.0,Normal Stock,316862.7
SKU-C9697,Office,416.08,1869.0,33.0,442,Hokkaido Foods,28,1366.0,Normal Stock,777653.52
SKU-B7511,Industrial,280.87,10.0,12.0,150,Sapporo Steel,20,390.0,Low Stock,2808.7
SKU-Z7086,Electronics,120.74,226.0,4.0,45,Nagoya Parts,13,97.0,Normal Stock,27287.239999999998
SKU-C7689,Electronics,27.45,147.0,5.0,45,Fukuoka Logistics,6,75.0,Normal Stock,4035.15
SKU-Z9850,Shipping,372.42,0.0,20.0,263,Osaka Supplies,29,843.0,Out of Stock,0.0
SKU-X8285,Home,249.22,4760.0,88.0,842,Sapporo Steel,23,2866.0,Normal Stock,1186287.2
SKU-X2501,Apparel,322.64,0.0,77.0,1062,Fukuoka Logistics,13,2063.0,Out of Stock,0.0
SKU-B4538,Industrial,120.33,5403.0,100.0,803,Sapporo Steel,3,1103.0,Normal Stock,650142.99
SKU-A1422,Home,182.33,29.0,31.0,344,Tokyo Electronics,11,685.0,Low Stock,5287.570000000001
SKU-Y2786,Shipping,114.67,0.0,79.0,576,Osaka Supplies,30,2946.0,Out of Stock,0.0
SKU-X7984,Apparel,247.68,276.0,57.0,428,Tokyo Electronics,22,1682.0,Low Stock,68359.68000000001
SKU-X9692,Food,255.25,2357.0,56.0,430,Kyoto Crafts,30,2110.0,Normal Stock,601624.25
SKU-B7779,Food,255.84,1012.0,54.0,653,Sapporo Steel,13,1355.0,Low Stock,258910.08000000002
SKU-A2527,Shipping,373.57,1602.0,48.0,608,Tokyo Electronics,21,1616.0,Low Stock,598459.14
SKU-X1842,Food,159.66,178.0,14.0,154,Osaka Supplies,24,490.0,Low Stock,28419.48
SKU-C4705,Industrial,423.35,3644.0,,1260,Kyoto Crafts,23,,Normal Stock,1542687.4000000001
SKU-C6062,Food,8.02,456.0,19.0,208,Hokkaido Foods,7,341.0,Normal Stock,3657.12
SKU-X6585,Home,159.26,0.0,42.0,522,Hokkaido Foods,5,732.0,Out of Stock,0.0
SKU-X7947,Shipping,223.81,1075.0,35.0,297,Osaka Supplies,14,787.0,Normal Stock,240595.75
SKU-A4612,Shipping,32.12,342.0,27.0,245,Osaka Supplies,7,434.0,Low Stock,10985.039999999999
SKU-B7229,Office,118.9,3482.0,72.0,924,Nagoya Parts,5,1284.0,Normal Stock,414009.80000000005
SKU-C8033,Office,356.2,1312.0,54.0,487,Kyoto Crafts,13,1189.0,Normal Stock,467334.39999999997
SKU-X2734,Home,249.22,3551.0,68.0,513,Kyoto Crafts,26,2281.0,Normal Stock,884980.22
SKU-Y4176,Industrial,254.08499999999998,1176.0,83.0,1054,Hokkaido Foods,7,1635.0,Low Stock,298803.95999999996
SKU-Z9095,Shipping,284.05,4158.0,75.0,760,Sapporo Steel,21,2335.0,Normal Stock,1181079.9000000001
SKU-X2118,Shipping,317.54,760.0,36.0,401,Kyoto Crafts,5,581.0,Normal Stock,241330.40000000002
SKU-A9307,Shipping,292.26,2563.0,95.0,1260,Kyoto Crafts,28,3920.0,Low Stock,749062.38
SKU-X2695,Industrial,175.0,3566.0,92.0,698,Sapporo Steel,4,1066.0,Normal Stock,624050.0
SKU-C5634,Shipping,388.36,4119.0,87.0,973,Kyoto Crafts,23,2974.0,Normal Stock,1599654.84
SKU-Z3463,Food,293.46,353.0,19.0,254,Tokyo Electronics,23,691.0,Low Stock,103591.37999999999
SKU-X6381,Industrial,336.71,5200.0,95.0,1328,Fukuoka Logistics,5,1803.0,Normal Stock,1750892.0
SKU-B6598,Industrial,100.04,319.0,,145,Kyoto Crafts,28,,Normal Stock,31912.760000000002
SKU-C3147,Office,260.67,1110.0,24.0,307,Kyoto Crafts,28,979.0,Normal Stock,289343.7
SKU-X5668,Industrial,254.08499999999998,557.0,30.0,322,Nagoya Parts,28,1162.0,Low Stock,141525.345
SKU-X8564,Industrial,390.17,0.0,65.0,694,Hokkaido Foods,29,2579.0,Out of Stock,0.0
SKU-C2680,Apparel,260.38,0.0,16.0,143,Sapporo Steel,11,319.0,Out of Stock,0.0
SKU-X6727,Electronics,31.36,1506.0,65.0,625,Kyoto Crafts,5,950.0,Normal Stock,47228.159999999996
SKU-B3254,Electronics,459.11,0.0,61.0,724,Hokkaido Foods,25,2249.0,Out of Stock,0.0
SKU-B9991,Apparel,266.25,213.0,15.0,186,Osaka Supplies,6,276.0,Low Stock,56711.25
SKU-Y9782,Electronics,260.11,541.0,31.0,372,Nagoya Parts,3,465.0,Normal Stock,140719.51
SKU-C2108,Office,256.13,1522.0,65.0,707,Osaka Supplies,18,1877.0,Low Stock,389829.86
SKU-B2698,Industrial,368.92,908.0,43.0,341,Osaka Supplies,13,900.0,Normal Stock,334979.36
SKU-Z3986,Industrial,36.23,221.0,100.0,1360,Fukuoka Logistics,9,2260.0,Low Stock,8006.829999999999
SKU-Y8756,Food,377.88,1293.0,25.0,225,Tokyo Electronics,4,325.0,Normal Stock,488598.83999999997
SKU-Z8204,Shipping,486.99,0.0,64.0,758,Hokkaido Foods,28,2550.0,Out of Stock,0.0
SKU-B9937,Food,55.79,772.0,42.0,488,Hokkaido Foods,22,1412.0,Low Stock,43069.88
SKU-C8126,Food,255.84,0.0,8.0,60,Nagoya Parts,14,172.0,Out of Stock,0.0
SKU-Z8179,Electronics,38.28,2172.0,100.0,1151,Fukuoka Logistics,21,3251.0,Low Stock,83144.16
SKU-B9674,Food,160.62,245.0,36.0,314,Kyoto Crafts,26,1250.0,Low Stock,39351.9
SKU-Z8311,Home,146.36,0.0,63.0,529,Osaka Supplies,5,844.0,Out of Stock,0.0
SKU-C6692,Apparel,254.1,1941.0,38.0,503,Tokyo Electronics,25,1453.0,Normal Stock,493208.1
SKU-B3275,Home,249.54,0.0,47.0,511,Sapporo Steel,28,1827.0,Out of Stock,0.0
SKU-Z8842,Office,385.74,4317.0,74.0,556,Kyoto Crafts,23,2258.0,Normal Stock,1665239.58
SKU-Y3981,Industrial,219.15,248.0,8.0,102,Fukuoka Logistics,12,198.0,Normal Stock,54349.200000000004
SKU-C2292,Food,255.84,2662.0,71.0,633,Fukuoka Logistics,22,2195.0,Normal Stock,681046.08
SKU-Z6531,Industrial,25.39,227.0,4.0,30,Osaka Supplies,27,138.0,Normal Stock,5763.53
SKU-X9938,Food,478.54,3003.0,62.0,540,Nagoya Parts,15,1470.0,Normal Stock,1437055.62
SKU-B6573,Office,159.73,5453.0,92.0,849,Fukuoka Logistics,14,2137.0,Normal Stock,871007.69
SKU-X3007,Food,127.72,737.0,13.0,95,Kyoto Crafts,30,485.0,Normal Stock,94129.64
SKU-Y6123,Home,83.87,3481.0,66.0,677,Sapporo Steel,18,1865.0,Normal Stock,291951.47000000003
SKU-A5609,Shipping,441.76,1440.0,84.0,983,Osaka Supplies,3,1235.0,Normal Stock,636134.4
SKU-C1741,Shipping,287.29,432.0,25.0,238,Tokyo Electronics,15,613.0,Low Stock,124109.28000000001
SKU-A3108,Electronics,189.73,0.0,44.0,479,Kyoto Crafts,7,787.0,Out of Stock,0.0
SKU-C8761,Office,78.73,3688.0,66.0,526,Kyoto Crafts,13,1384.0,Normal Stock,290356.24
SKU-Y9721,Shipping,283.65,1348.0,61.0,775,Nagoya Parts,24,2239.0,Low Stock,382360.19999999995
SKU-Z1436,Office,136.44,3911.0,84.0,1048,Kyoto Crafts,21,2812.0,Normal Stock,533616.84
SKU-X3421,Industrial,124.89,487.0,74.0,1009,Nagoya Parts,3,1231.0,Low Stock,60821.43
SKU-Y8726,Industrial,369.24,248.0,8.0,95,Sapporo Steel,20,255.0,Low Stock,91571.52
SKU-Y6608,Office,339.55,4484.0,93.0,1094,Hokkaido Foods,11,2117.0,Normal Stock,1522542.2
SKU-C5735,Apparel,346.67,1318.0,63.0,580,Fukuoka Logistics,28,2344.0,Low Stock,456911.06
SKU-X6654,Industrial,77.51,257.0,6.0,54,Sapporo Steel,14,138.0,Normal Stock,19920.07
SKU-C5450,Home,309.76,231.0,76.0,659,Tokyo Electronics,19,2103.0,Low Stock,71554.56
SKU-Z3252,Electronics,489.07,1178.0,21.0,206,Osaka Supplies,18,584.0,Normal Stock,576124.46
SKU-A4804,Office,362.94,52.0,5.0,66,Nagoya Parts,29,211.0,Low Stock,18872.88
SKU-Z5742,Electronics,152.7,4600.0,78.0,604,Tokyo Electronics,12,1540.0,Normal Stock,702420.0
SKU-Y8668,Food,405.36,1183.0,43.0,349,Fukuoka Logistics,11,822.0,Normal Stock,479540.88
SKU-B3875,Office,321.17,1607.0,52.0,665,Sapporo Steel,5,925.0,Normal Stock,516120.19
SKU-A5272,Shipping,226.13,634.0,35.0,478,Fukuoka Logistics,26,1388.0,Low Stock,143366.41999999998
SKU-X6026,Home,344.61,3768.0,91.0,1127,Kyoto Crafts,23,3220.0,Normal Stock,1298490.48
SKU-B8454,Apparel,189.94,2542.0,90.0,976,Osaka Supplies,20,2776.0,Low Stock,482827.48
SKU-A9609,Shipping,353.36,67.0,10.0,134,Osaka Supplies,29,424.0,Low Stock,23675.120000000003
SKU-Y8239,Electronics,106.67,4045.0,75.0,781,Nagoya Parts,17,2056.0,Normal Stock,431480.15
SKU-X6049,Apparel,200.99,0.0,1.0,12,Tokyo Electronics,4,16.0,Out of Stock,0.0
SKU-X1519,Food,94.09,1056.0,18.0,222,Kyoto Crafts,23,636.0,Normal Stock,99359.04000000001
SKU-X7154,Electronics,482.25,3613.0,70.0,555,Nagoya Parts,6,975.0,Normal Stock,1742369.25
SKU-A1372,Food,338.38,1592.0,70.0,697,Kyoto Crafts,10,1397.0,Normal Stock,538700.96
SKU-A1527,Industrial,254.08499999999998,5280.0,99.0,1341,Nagoya Parts,10,2331.0,Normal Stock,1341568.7999999998
SKU-A5009,Apparel,204.12,1357.0,30.0,323,Tokyo Electronics,27,1133.0,Normal Stock,276990.84
SKU-Y6253,Home,438.75,2109.0,85.0,905,Hokkaido Foods,11,1840.0,Normal Stock,925323.75
SKU-X1768,Food,337.31,1698.0,68.0,627,Nagoya Parts,7,1103.0,Normal Stock,572752.38
SKU-Z3365,Industrial,254.08499999999998,1799.0,72.0,711,Kyoto Crafts,19,2079.0,Low Stock,457098.915
SKU-C2514,Office,415.56,282.0,7.0,62,Nagoya Parts,22,216.0,Normal Stock,117187.92
SKU-B6455,Food,109.84,175.0,25.0,343,Tokyo Electronics,27,1018.0,Low Stock,19222.0
SKU-Y6269,Industrial,193.43,1276.0,69.0,796,Hokkaido Foods,14,1762.0,Low Stock,246816.68000000002
SKU-C4328,Food,209.9,3246.0,73.0,952,Hokkaido Foods,3,1171.0,Normal Stock,681335.4
SKU-C4768,Shipping,417.51,3622.0,64.0,694,Osaka Supplies,13,1526.0,Normal Stock,1512221.22
SKU-B6770,Home,361.56,0.0,63.0,522,Fukuoka Logistics,23,1971.0,Out of Stock,0.0
SKU-A1104,Shipping,422.06,271.0,30.0,224,Fukuoka Logistics,9,494.0,Low Stock,114378.26
SKU-X8993,Electronics,268.45,1683.0,53.0,375,Tokyo Electronics,11,958.0,Normal Stock,451801.35
SKU-B2753,Electronics,78.7,378.0,25.0,283,Osaka Supplies,14,633.0,Low Stock,29748.600000000002
SKU-Z4700,Food,414.89,566.0,11.0,127,Nagoya Parts,27,424.0,Normal Stock,234827.74
SKU-A9189,Industrial,324.23,2213.0,43.0,471,Kyoto Crafts,6,729.0,Normal Stock,717520.99
SKU-Y8790,Food,462.46,0.0,88.0,1186,Tokyo Electronics,21,3034.0,Out of Stock,0.0
SKU-B7525,Electronics,85.41,1579.0,31.0,339,Hokkaido Foods,24,1083.0,Normal Stock,134862.38999999998
SKU-Z2284,Office,487.29,97.0,7.0,53,Nagoya Parts,5,88.0,Normal Stock,47267.130000000005
SKU-A5478,Industrial,247.85,1036.0,46.0,500,Kyoto Crafts,8,868.0,Normal Stock,256772.6
SKU-Z2204,Electronics,260.41,851.0,92.0,1148,Hokkaido Foods,15,2528.0,Low Stock,221608.91000000003
SKU-C2674,Home,97.76,1783.0,58.0,632,Tokyo Electronics,6,980.0,Normal Stock,174306.08000000002
SKU-C7779,Shipping,258.92,4225.0,72.0,960,Sapporo Steel,21,2472.0,Normal Stock,1093937.0
SKU-B2036,Home,141.6,179.0,39.0,405,Kyoto Crafts,11,834.0,Low Stock,25346.399999999998
SKU-B5991,Electronics,169.45,4138.0,80.0,772,Kyoto Crafts,17,2132.0,Normal Stock,701184.1
SKU-C4290,Shipping,92.93,891.0,51.0,702,Hokkaido Foods,25,1977.0,Low Stock,82800.63
SKU-X6980,Electronics,103.9,3223.0,70.0,578,Osaka Supplies,3,788.0,Normal Stock,334869.7
SKU-Z2133,Industrial,398.85,442.0,53.0,620,Sapporo Steel,12,1256.0,Low Stock,176291.7
SKU-Y8851,Office,269.51,196.0,89.0,883,Kyoto Crafts,14,2129.0,Low Stock,52823.96
SKU-B6816,Home,308.28,2967.0,73.0,1013,Nagoya Parts,15,2108.0,Normal Stock,914666.7599999999
SKU-B9366,Apparel,281.21,2380.0,89.0,981,Osaka Supplies,15,2316.0,Normal Stock,669279.7999999999
SKU-X2712,Food,460.67,620.0,11.0,85,Kyoto Crafts,7,162.0,Normal Stock,285615.4
SKU-A8178,Apparel,228.96,437.0,9.0,81,Nagoya Parts,6,135.0,Normal Stock,100055.52
SKU-Y3858,Office,168.84,765.0,55.0,754,Fukuoka Logistics,15,1579.0,Low Stock,129162.6
SKU-B8365,Office,197.47,1519.0,91.0,773,Kyoto Crafts,25,3048.0,Low Stock,299956.93
SKU-C4228,Shipping,134.86,2415.0,63.0,673,Tokyo Electronics,22,2059.0,Normal Stock,325686.9
SKU-B5873,Office,46.95,257.0,18.0,165,Osaka Supplies,6,273.0,Low Stock,12066.150000000001
SKU-X7931,Home,319.57,4969.0,89.0,1195,Kyoto Crafts,8,1907.0,Normal Stock,1587943.33
SKU-A6882,Electronics,72.58,1516.0,50.0,687,Kyoto Crafts,18,1587.0,Low Stock,110031.28
SKU-Y1505,Industrial,114.16,161.0,5.0,44,Sapporo Steel,8,84.0,Normal Stock,18379.76
SKU-Y2871,Food,273.84,2134.0,47.0,507,Sapporo Steel,27,1776.0,Normal Stock,584374.5599999999
SKU-B5877,Industrial,227.62,234.0,45.0,586,Tokyo Electronics,30,1936.0,Low Stock,53263.08
SKU-C8015,Home,73.92,1304.0,27.0,342,Osaka Supplies,21,909.0,Normal Stock,96391.68000000001
SKU-C5380,Industrial,492.82,707.0,87.0,1105,Osaka Supplies,27,3454.0,Low Stock,348423.74
SKU-B5090,Home,164.44,1298.0,32.0,394,Nagoya Parts,18,970.0,Normal Stock,213443.12
SKU-A7600,Office,142.72,1405.0,48.0,488,Nagoya Parts,21,1496.0,Low Stock,200521.6
SKU-C2037,Industrial,201.87,1632.0,55.0,702,Osaka Supplies,13,1417.0,Normal Stock,329451.84
SKU-C1793,Electronics,314.96,3290.0,59.0,419,Tokyo Electronics,8,891.0,Normal Stock,1036218.3999999999
SKU-B5945,Home,249.22,778.0,36.0,275,Sapporo Steel,5,455.0,Normal Stock,193893.16
SKU-Z4836,Shipping,50.14,0.0,13.0,91,Nagoya Parts,7,182.0,Out of Stock,0.0
SKU-A7919,Apparel,241.46,1315.0,30.0,290,Fukuoka Logistics,6,470.0,Normal Stock,317519.9
SKU-B3340,Electronics,283.83,2086.0,79.0,912,Osaka Supplies,26,2966.0,Low Stock,592069.38
SKU-B2420,Electronics,377.46,0.0,76.0,920,Fukuoka Logistics,16,2136.0,Out of Stock,0.0
SKU-Y5668,Industrial,18.28,0.0,85.0,1116,Nagoya Parts,22,2986.0,Out of Stock,0.0
SKU-B9108,Shipping,124.34,2599.0,82.0,914,Tokyo Electronics,3,1160.0,Normal Stock,323159.66000000003
SKU-C9951,Apparel,382.55,3488.0,99.0,743,Fukuoka Logistics,3,1040.0,Normal Stock,1334334.4000000001
SKU-Z9209,Industrial,214.67,1674.0,52.0,394,Kyoto Crafts,22,1538.0,Normal Stock,359357.57999999996
SKU-B9788,Food,295.29,4004.0,98.0,1258,Kyoto Crafts,5,1748.0,Normal Stock,1182341.1600000001
SKU-X2900,Shipping,306.37,1579.0,40.0,466,Osaka Supplies,8,786.0,Normal Stock,483758.23
SKU-Y9474,Industrial,361.78,0.0,22.0,211,Sapporo Steel,30,871.0,Out of Stock,0.0
SKU-C9582,Electronics,357.6,2202.0,74.0,843,Hokkaido Foods,19,2249.0,Low Stock,787435.2000000001
SKU-A2889,Home,249.22,4.0,6.0,78,Nagoya Parts,4,102.0,Low Stock,996.88
SKU-Y7870,Home,127.89,4609.0,93.0,859,Hokkaido Foods,21,2812.0,Normal Stock,589445.01
SKU-A7568,Electronics,433.69,1963.0,100.0,1291,Kyoto Crafts,20,3291.0,Low Stock,851333.47
SKU-B8600,Food,255.84,4350.0,99.0,1230,Osaka Supplies,20,3210.0,Normal Stock,1112904.0
SKU-C1157,Food,380.67,2138.0,49.0,634,Tokyo Electronics,6,928.0,Normal Stock,813872.4600000001
SKU-B5584,Electronics,461.03,3600.0,67.0,662,Tokyo Electronics,17,1801.0,Normal Stock,1659708.0
SKU-A2020,Shipping,482.29,1582.0,31.0,280,Nagoya Parts,28,1148.0,Normal Stock,762982.78
SKU-B3230,Industrial,294.43,539.0,20.0,154,Sapporo Steel,13,414.0,Normal Stock,158697.77
SKU-C2964,Electronics,404.76,1630.0,39.0,498,Fukuoka Logistics,4,654.0,Normal Stock,659758.7999999999
SKU-X9412,Electronics,152.93,558.0,23.0,166,Nagoya Parts,17,557.0,Normal Stock,85334.94
SKU-A1195,Electronics,391.58,1433.0,29.0,229,Sapporo Steel,14,635.0,Normal Stock,561134.14
SKU-A1357,Electronics,260.41,314.0,57.0,721,Fukuoka Logistics,30,2431.0,Low Stock,81768.74
SKU-Y8096,Industrial,200.52,102.0,,38,Nagoya Parts,14,,Normal Stock,20453.04
SKU-Y5026,Apparel,251.95,373.0,71.0,735,Hokkaido Foods,15,1800.0,Low Stock,93977.34999999999
SKU-Y1319,Shipping,258.92,1803.0,62.0,670,Sapporo Steel,21,1972.0,Low Stock,466832.76
SKU-C1959,Industrial,267.07,1382.0,99.0,1097,Kyoto Crafts,8,1889.0,Low Stock,369090.74
SKU-A4594,Office,491.42,2517.0,50.0,474,Sapporo Steel,30,1974.0,Normal Stock,1236904.1400000001
SKU-Y1462,Apparel,179.08,2466.0,73.0,799,Nagoya Parts,9,1456.0,Normal Stock,441611.28
SKU-A2478,Electronics,302.82,0.0,3.0,32,Fukuoka Logistics,22,98.0,Out of Stock,0.0
SKU-C1975,Electronics,295.37,964.0,19.0,235,Fukuoka Logistics,30,805.0,Normal Stock,284736.68
SKU-C5944,Food,488.05,4465.0,94.0,1282,Fukuoka Logistics,18,2974.0,Normal Stock,2179143.25
SKU-C4657,Apparel,408.15,2024.0,49.0,448,Osaka Supplies,7,791.0,Normal Stock,826095.6
SKU-Y1530,Home,162.52,2680.0,79.0,675,Osaka Supplies,18,2097.0,Normal Stock,435553.60000000003
SKU-A6500,Shipping,136.28,672.0,32.0,379,Tokyo Electronics,28,1275.0,Low Stock,91580.16
