Product_ID,Category,Unit_Cost_Raw,Current_Stock_Raw,Daily_Demand_Est,Safety_Stock_Target,Vendor_Name,Lead_Time_Days
SKU-B1685,Food,450.0,75,6.0,79,Hokkaido Foods,10
SKU-Z3532,Home,85.44,34,23.0,302,Sapporo Steel,26
SKU-B5371,Home,352.13,2524,49.0,642,Sapporo Steel,10
SKU-B1387,Apparel,202.24,2088,36.0,469,Fukuoka Logistics,11
SKU-A2889,Food,292.39,1217,34.0,247,Fukuoka Logistics,14
SKU-Y4114,Food,355.85,48,1.0,10,Tokyo Electronics,24
SKU-Z6409,Office,333.38,288,16.0,192,Hokkaido Foods,12
SKU-Z7211,apparel,451.89,1924,79.0,867,Nagoya Parts,29
SKU-X4501,Office,$397.90,483,95.0,777,Kyoto Crafts,19
SKU-C4680,Industrial,77.94,171,6.0,52,Fukuoka Logistics,30
SKU-X9099,Shipping,Quote Pending,4010,89.0,626,Fukuoka Logistics,27
SKU-X1822,Office,459.15,769,16.0,163,Fukuoka Logistics,24
SKU-Z9270,Shipping,453.89,2587,58.0,770,Sapporo Steel,18
SKU-X4919,food,Quote Pending,745,37.0,319,Kyoto Crafts,20
SKU-C9890,SHIPPING,35.82,2494,54.0,525,Kyoto Crafts,25
 SKU-X7865 ,Office,368.64,2284,78.0,1036,Nagoya Parts,11
SKU-B8657,Home,269.39,,51.0,568,Osaka Supplies,5
SKU-B8449,Food,,2796,49.0,438,Hokkaido Foods,16
 SKU-C4673 ,Apparel,Quote Pending,156,84.0,611,Tokyo Electronics,10
SKU-Y4571,Shipping,Quote Pending,1748,48.0,392,Nagoya Parts,26
SKU-C7149,Shipping,103.17,2860,76.0,899,Nagoya Parts,6
SKU-Y1672,Food,USD 217.05,1864,48.0,359,Osaka Supplies,3
SKU-X3506,Shipping,368.23,4073,84.0,746,Fukuoka Logistics,20
SKU-B2419,FOOD,Quote Pending,2405,60.0,659,Kyoto Crafts,13
SKU-Y5526,Office,260.73,1080,25.0,189,Tokyo Electronics,18
SKU-A2524,Food,205.18,1116,32.0,292,Fukuoka Logistics,18
SKU-X5438,Food,Quote Pending,667,93.0,776,Hokkaido Foods,20
SKU-Y9595,OFFICE,490.35,541,25.0,226,Hokkaido Foods,12
SKU-B9042,Electronics,11.07,977,37.0,380,Sapporo Steel,8
SKU-X2213,office,344.79,675,20.0,160,Nagoya Parts,12
SKU-Y7232,SHIPPING,152.19,1392,76.0,1058,Kyoto Crafts,22
 SKU-A3573 ,Home,278.24,567,21.0,147,Fukuoka Logistics,22
SKU-A4824,Food,USD 396.67,4257,76.0,883,Sapporo Steel,16
SKU-A3718,Industrial,299.55,1923,73.0,981,Hokkaido Foods,17
SKU-A1653,Shipping,164.55,453,33.0,236,Nagoya Parts,24
SKU-C1659,Industrial,91.72,3682,67.0,774,Sapporo Steel,8
SKU-X6460,Food,56.78,,21.0,195,Nagoya Parts,12
SKU-C6296,Electronics,Quote Pending,4,66.0,843,Sapporo Steel,30
 SKU-Z8242 ,Industrial,105.76,1227,71.0,562,Tokyo Electronics,25
SKU-C1224,Office,51.14,105,15.0,153,Kyoto Crafts,29
SKU-X8736,Home,277.88,1798,50.0,416,Kyoto Crafts,26
SKU-Y5377,Industrial,145.01,1357,39.0,501,Tokyo Electronics,24
 SKU-Y7180 ,Shipping,435.45,2068,90.0,780,Hokkaido Foods,30
SKU-X3492,Shipping,67.49,457,76.0,708,Tokyo Electronics,30
SKU-Z3529,electronics,391.86,1413,34.0,318,Kyoto Crafts,23
SKU-X9864,Electronics,$38.87,1396,81.0,955,Osaka Supplies,10
SKU-X3725,Apparel,452.19,20,6.0,55,Hokkaido Foods,14
SKU-B3868,Electronics,436.07,2388,,942,Osaka Supplies,21
SKU-X5712,Apparel,83.2,3377,57.0,776,Osaka Supplies,12
SKU-X8916,ELECTRONICS,,2739,46.0,507,Fukuoka Logistics,12
SKU-A9138,Industrial,388.99,634,30.0,337,Hokkaido Foods,23
SKU-B2591,apparel,Quote Pending,1247,57.0,412,Nagoya Parts,7
SKU-C9697,Office,416.08,1869,33.0,442,Hokkaido Foods,28
SKU-B7511,Industrial,280.87,10,12.0,150,Sapporo Steel,20
SKU-Z7086,Electronics,$120.74,226,4.0,45,Nagoya Parts,13
SKU-C7689,Electronics,27.45,147,5.0,45,Fukuoka Logistics,6
SKU-Z9850,Shipping,372.42,,20.0,263,Osaka Supplies,29
SKU-X8285,Home,Quote Pending,4760,88.0,842,Sapporo Steel,23
SKU-X2501,Apparel,322.64,233 pcs,77.0,1062,Fukuoka Logistics,13
SKU-B4538,Industrial,120.33,5403,100.0,803,Sapporo Steel,3
SKU-A1422,HOME,182.33,29,31.0,344,Tokyo Electronics,11
SKU-Y2786,Shipping,114.67,,79.0,576,Osaka Supplies,30
SKU-X7984,Apparel,247.68,276,57.0,428,Tokyo Electronics,22
SKU-X9692,Food,255.25,2357,56.0,430,Kyoto Crafts,30
SKU-B7779,Food,Quote Pending,1012,54.0,653,Sapporo Steel,13
SKU-A2527,Shipping,373.57,1602,48.0,608,Tokyo Electronics,21
SKU-X1842,Food,159.66,178,14.0,154,Osaka Supplies,24
SKU-C4705,Industrial,423.35,3644,,1260,Kyoto Crafts,23
SKU-C6062,Food,$8.02,456,19.0,208,Hokkaido Foods,7
SKU-X6585,Home,159.26,,42.0,522,Hokkaido Foods,5
SKU-X7947,Shipping,223.81,1075,35.0,297,Osaka Supplies,14
SKU-A4612,Shipping,USD 32.12,342,27.0,245,Osaka Supplies,7
SKU-B7229,Office,118.9,3482,72.0,924,Nagoya Parts,5
SKU-C8033,Office,356.2,1312,54.0,487,Kyoto Crafts,13
SKU-X2734,Home,Quote Pending,3551,68.0,513,Kyoto Crafts,26
SKU-Y4176,Industrial,Quote Pending,1176,83.0,1054,Hokkaido Foods,7
SKU-Z9095,Shipping,284.05,4158,75.0,760,Sapporo Steel,21
SKU-X2118,Shipping,$317.54,760,36.0,401,Kyoto Crafts,5
SKU-A9307,Shipping,292.26,2563,95.0,1260,Kyoto Crafts,28
SKU-X2695,Industrial,175.0,3566,92.0,698,Sapporo Steel,4
SKU-C5634,Shipping,388.36,4119,87.0,973,Kyoto Crafts,23
SKU-Z3463,Food,293.46,353,19.0,254,Tokyo Electronics,23
SKU-X6381,Industrial,336.71,5200,95.0,1328,Fukuoka Logistics,5
SKU-B6598,Industrial,100.04,319,,145,Kyoto Crafts,28
SKU-C3147,Office,,1110,24.0,307,Kyoto Crafts,28
SKU-X5668,Industrial,Quote Pending,557,30.0,322,Nagoya Parts,28
SKU-X8564,Industrial,390.17,,65.0,694,Hokkaido Foods,29
SKU-C2680,Apparel,260.38,732 pcs,16.0,143,Sapporo Steel,11
 SKU-X6727 ,Electronics,31.36,1506,65.0,625,Kyoto Crafts,5
SKU-B3254,Electronics,459.11,-507,61.0,724,Hokkaido Foods,25
SKU-B9991,apparel,266.25,213,15.0,186,Osaka Supplies,6
SKU-Y9782,Electronics,260.11,541,31.0,372,Nagoya Parts,3
SKU-C2108,office,256.13,1522,65.0,707,Osaka Supplies,18
SKU-B2698,Industrial,368.92,908,43.0,341,Osaka Supplies,13
 SKU-Z3986 ,industrial,36.23,221,100.0,1360,Fukuoka Logistics,9
SKU-Y8756,Food,USD 377.88,1293,25.0,225,Tokyo Electronics,4
SKU-Z8204,Shipping,486.99,1410 pcs,64.0,758,Hokkaido Foods,28
SKU-B9937,Food,55.79,772,42.0,488,Hokkaido Foods,22
SKU-C8126,Food,Quote Pending,,8.0,60,Nagoya Parts,14
SKU-Z8179,electronics,38.28,2172,100.0,1151,Fukuoka Logistics,21
SKU-B9674,Food,160.62,245,36.0,314,Kyoto Crafts,26
SKU-Z8311,Home,146.36,513 pcs,63.0,529,Osaka Supplies,5
SKU-C6692,Apparel,Quote Pending,1941,38.0,503,Tokyo Electronics,25
SKU-B3275,Home,249.54,1040 pcs,47.0,511,Sapporo Steel,28
SKU-Z8842,office,USD 385.74,4317,74.0,556,Kyoto Crafts,23
SKU-Y3981,Industrial,219.15,248,8.0,102,Fukuoka Logistics,12
SKU-C2292,Food,Quote Pending,2662,71.0,633,Fukuoka Logistics,22
SKU-Z6531,Industrial,25.39,227,4.0,30,Osaka Supplies,27
SKU-X9938,Food,$478.54,3003,62.0,540,Nagoya Parts,15
SKU-B6573,Office,159.73,5453,92.0,849,Fukuoka Logistics,14
SKU-X3007,Food,127.72,737,13.0,95,Kyoto Crafts,30
SKU-Y6123,HOME,83.87,3481,66.0,677,Sapporo Steel,18
SKU-A5609,Shipping,441.76,1440,84.0,983,Osaka Supplies,3
SKU-C1741,Shipping,287.29,432,25.0,238,Tokyo Electronics,15
SKU-A3108,Electronics,189.73,,44.0,479,Kyoto Crafts,7
SKU-C8761,Office,78.73,3688,66.0,526,Kyoto Crafts,13
SKU-Y9721,Shipping,283.65,1348,61.0,775,Nagoya Parts,24
SKU-Z1436,Office,136.44,3911,84.0,1048,Kyoto Crafts,21
SKU-X3421,Industrial,124.89,487,74.0,1009,Nagoya Parts,3
SKU-Y8726,Industrial,369.24,248,8.0,95,Sapporo Steel,20
SKU-Y6608,Office,339.55,4484,93.0,1094,Hokkaido Foods,11
SKU-C5735,Apparel,346.67,1318,63.0,580,Fukuoka Logistics,28
SKU-X6654,Industrial,77.51,257,6.0,54,Sapporo Steel,14
SKU-C5450,Home,USD 309.76,231,76.0,659,Tokyo Electronics,19
SKU-Z3252,Electronics,489.07,1178,21.0,206,Osaka Supplies,18
SKU-A4804,Office,362.94,52,5.0,66,Nagoya Parts,29
SKU-Z5742,Electronics,152.7,4600,78.0,604,Tokyo Electronics,12
 SKU-Y8668 ,Food,405.36,1183,43.0,349,Fukuoka Logistics,11
SKU-B3875,Office,321.17,1607,52.0,665,Sapporo Steel,5
SKU-A5272,Shipping,226.13,634,35.0,478,Fukuoka Logistics,26
SKU-X6026,Home,344.61,3768,91.0,1127,Kyoto Crafts,23
SKU-B8454,Apparel,189.94,2542,90.0,976,Osaka Supplies,20
SKU-A9609,Shipping,353.36,67,10.0,134,Osaka Supplies,29
SKU-Y8239,Electronics,106.67,4045,75.0,781,Nagoya Parts,17
SKU-X6049,Apparel,200.99,34 pcs,1.0,12,Tokyo Electronics,4
SKU-X1519,Food,94.09,1056,18.0,222,Kyoto Crafts,23
SKU-X7154,Electronics,482.25,3613,70.0,555,Nagoya Parts,6
SKU-A1372,Food,338.38,1592,70.0,697,Kyoto Crafts,10
SKU-A1527,Industrial,,5280,99.0,1341,Nagoya Parts,10
SKU-A5009,APPAREL,204.12,1357,30.0,323,Tokyo Electronics,27
SKU-Y6253,HOME,438.75,2109,85.0,905,Hokkaido Foods,11
SKU-X1768,Food,337.31,1698,68.0,627,Nagoya Parts,7
SKU-Z3365,Industrial,Quote Pending,1799,72.0,711,Kyoto Crafts,19
SKU-C2514,office,415.56,282,7.0,62,Nagoya Parts,22
SKU-B6455,Food,109.84,175,25.0,343,Tokyo Electronics,27
SKU-Y6269,Industrial,$193.43,1276,69.0,796,Hokkaido Foods,14
SKU-C4328,Food,209.9,3246,73.0,952,Hokkaido Foods,3
SKU-C4768,Shipping,417.51,3622,64.0,694,Osaka Supplies,13
SKU-B6770,Home,361.56,3361 pcs,63.0,522,Fukuoka Logistics,23
SKU-A1104,Shipping,422.06,271,30.0,224,Fukuoka Logistics,9
SKU-X8993,Electronics,268.45,1683,53.0,375,Tokyo Electronics,11
SKU-B2753,Electronics,78.7,378,25.0,283,Osaka Supplies,14
SKU-Z4700,food,414.89,566,11.0,127,Nagoya Parts,27
SKU-A9189,Industrial,324.23,2213,43.0,471,Kyoto Crafts,6
SKU-Y8790,Food,462.46,-4748,88.0,1186,Tokyo Electronics,21
SKU-B7525,Electronics,85.41,1579,31.0,339,Hokkaido Foods,24
SKU-Z2284,Office,487.29,97,7.0,53,Nagoya Parts,5
SKU-A5478,Industrial,$247.85,1036,46.0,500,Kyoto Crafts,8
SKU-Z2204,Electronics,,851,92.0,1148,Hokkaido Foods,15
SKU-C2674,home,97.76,1783,58.0,632,Tokyo Electronics,6
SKU-C7779,Shipping,Quote Pending,4225,72.0,960,Sapporo Steel,21
SKU-B2036,Home,141.6,179,39.0,405,Kyoto Crafts,11
SKU-B5991,Electronics,169.45,4138,80.0,772,Kyoto Crafts,17
SKU-C4290,Shipping,92.93,891,51.0,702,Hokkaido Foods,25
SKU-X6980,Electronics,103.9,3223,70.0,578,Osaka Supplies,3
SKU-Z2133,Industrial,398.85,442,53.0,620,Sapporo Steel,12
SKU-Y8851,Office,269.51,196,89.0,883,Kyoto Crafts,14
SKU-B6816,Home,308.28,2967,73.0,1013,Nagoya Parts,15
SKU-B9366,Apparel,281.21,2380,89.0,981,Osaka Supplies,15
SKU-X2712,Food,460.67,620,11.0,85,Kyoto Crafts,7
SKU-A8178,apparel,228.96,437,9.0,81,Nagoya Parts,6
SKU-Y3858,Office,168.84,765,55.0,754,Fukuoka Logistics,15
SKU-B8365,Office,USD 197.47,1519,91.0,773,Kyoto Crafts,25
SKU-C4228,Shipping,USD 134.86,2415,63.0,673,Tokyo Electronics,22
SKU-B5873,Office,46.95,257,18.0,165,Osaka Supplies,6
SKU-X7931,Home,USD 319.57,4969,89.0,1195,Kyoto Crafts,8
SKU-A6882,Electronics,72.58,1516,50.0,687,Kyoto Crafts,18
SKU-Y1505,Industrial,114.16,161,5.0,44,Sapporo Steel,8
SKU-Y2871,Food,273.84,2134,47.0,507,Sapporo Steel,27
SKU-B5877,Industrial,227.62,234,45.0,586,Tokyo Electronics,30
SKU-C8015,Home,73.92,1304,27.0,342,Osaka Supplies,21
SKU-C5380,Industrial,492.82,707,87.0,1105,Osaka Supplies,27
SKU-B5090,Home,164.44,1298,32.0,394,Nagoya Parts,18
SKU-A7600,OFFICE,142.72,1405,48.0,488,Nagoya Parts,21
SKU-C2037,Industrial,201.87,1632,55.0,702,Osaka Supplies,13
 SKU-C1793 ,Electronics,314.96,3290,59.0,419,Tokyo Electronics,8
SKU-B5945,Home,Quote Pending,778,36.0,275,Sapporo Steel,5
SKU-Z4836,Shipping,50.14,-371,13.0,91,Nagoya Parts,7
SKU-A7919,Apparel,241.46,1315,30.0,290,Fukuoka Logistics,6
SKU-B3340,Electronics,283.83,2086,79.0,912,Osaka Supplies,26
SKU-B2420,Electronics,377.46,1603 pcs,76.0,920,Fukuoka Logistics,16
SKU-Y5668,Industrial,18.28,,85.0,1116,Nagoya Parts,22
SKU-B9108,Shipping,USD 124.34,2599,82.0,914,Tokyo Electronics,3
 SKU-C9951 ,Apparel,$382.55,3488,99.0,743,Fukuoka Logistics,3
SKU-Z9209,Industrial,$214.67,1674,52.0,394,Kyoto Crafts,22
SKU-B9788,Food,295.29,4004,98.0,1258,Kyoto Crafts,5
SKU-X2900,Shipping,306.37,1579,40.0,466,Osaka Supplies,8
SKU-Y9474,Industrial,361.78,-989,22.0,211,Sapporo Steel,30
SKU-C9582,Electronics,357.6,2202,74.0,843,Hokkaido Foods,19
SKU-A2889,Home,Quote Pending,4,6.0,78,Nagoya Parts,4
SKU-Y7870,Home,127.89,4609,93.0,859,Hokkaido Foods,21
SKU-A7568,Electronics,433.69,1963,100.0,1291,Kyoto Crafts,20
SKU-B8600,Food,,4350,99.0,1230,Osaka Supplies,20
SKU-C1157,Food,380.67,2138,49.0,634,Tokyo Electronics,6
SKU-B5584,Electronics,$461.03,3600,67.0,662,Tokyo Electronics,17
SKU-A2020,Shipping,482.29,1582,31.0,280,Nagoya Parts,28
SKU-B3230,Industrial,294.43,539,20.0,154,Sapporo Steel,13
SKU-C2964,Electronics,USD 404.76,1630,39.0,498,Fukuoka Logistics,4
SKU-X9412,Electronics,$152.93,558,23.0,166,Nagoya Parts,17
SKU-A1195,Electronics,$391.58,1433,29.0,229,Sapporo Steel,14
SKU-A1357,Electronics,,314,57.0,721,Fukuoka Logistics,30
SKU-Y8096,Industrial,200.52,102,,38,Nagoya Parts,14
SKU-Y5026,Apparel,251.95,373,71.0,735,Hokkaido Foods,15
SKU-Y1319,Shipping,Quote Pending,1803,62.0,670,Sapporo Steel,21
SKU-C1959,Industrial,267.07,1382,99.0,1097,Kyoto Crafts,8
SKU-A4594,Office,491.42,2517,50.0,474,Sapporo Steel,30
SKU-Y1462,Apparel,179.08,2466,73.0,799,Nagoya Parts,9
SKU-A2478,Electronics,302.82,0,3.0,32,Fukuoka Logistics,22
SKU-C1975,Electronics,295.37,964,19.0,235,Fukuoka Logistics,30
SKU-C5944,Food,488.05,4465,94.0,1282,Fukuoka Logistics,18
 SKU-C4657 ,Apparel,408.15,2024,49.0,448,Osaka Supplies,7
SKU-Y1530,Home,162.52,2680,79.0,675,Osaka Supplies,18
 SKU-A6500 ,Shipping,136.28,672,32.0,379,Tokyo Electronics,28
SKU-X9078,Shipping,Quote Pending,615 pcs,13.0,166,Hokkaido Foods,21
SKU-C1328,Food,476.07,532 pcs,10.0,93,Hokkaido Foods,8
SKU-Y8909,apparel,218.51,4484,84.0,685,Tokyo Electronics,8
SKU-Y5346,Apparel,,445 pcs,13.0,95,Hokkaido Foods,29
SKU-Z8869,Home,17.74,1289,22.0,252,Tokyo Electronics,18
SKU-A9914,Shipping,188.66,1310,49.0,469,Fukuoka Logistics,11
SKU-Z2584,Electronics,175.18,3177,70.0,692,Nagoya Parts,10
SKU-X4860,Shipping,44.08,3153,92.0,666,Hokkaido Foods,19
SKU-B3738,Home,USD 100.40,355,6.0,59,Sapporo Steel,16
 SKU-Z2097 ,Electronics,280.4,1176,71.0,659,Kyoto Crafts,17
SKU-A7790,Home,285.46,4228,75.0,923,Fukuoka Logistics,6
SKU-X5327,Shipping,245.36,,78.0,804,Nagoya Parts,15
SKU-C4892,Electronics,240.23,42,35.0,464,Nagoya Parts,29
SKU-B3201,food,224.34,1050,42.0,373,Nagoya Parts,23
SKU-C1920,Office,,968,40.0,478,Sapporo Steel,27
SKU-A5087,Electronics,30.03,772,47.0,560,Kyoto Crafts,29
SKU-X8308,Home,239.92,696,71.0,670,Sapporo Steel,11
SKU-Y4511,INDUSTRIAL,,3401,87.0,734,Fukuoka Logistics,19
SKU-Y1138,Home,306.13,1702,40.0,479,Hokkaido Foods,11
SKU-Z9530,Industrial,201.59,839,14.0,98,Osaka Supplies,29
SKU-X2045,Food,322.09,1535,36.0,317,Hokkaido Foods,23
SKU-Y7620,Apparel,341.97,,93.0,667,Hokkaido Foods,12
SKU-Y4111,Food,Quote Pending,4144,88.0,945,Nagoya Parts,24
SKU-C2599,Shipping,371.75,4257,93.0,1177,Fukuoka Logistics,8
SKU-C7889,INDUSTRIAL,188.98,3830,75.0,679,Hokkaido Foods,18
SKU-A7253,Office,209.49,240,20.0,159,Hokkaido Foods,16
SKU-B2324,Shipping,Quote Pending,80,23.0,211,Hokkaido Foods,17
SKU-A3120,office,,1489,52.0,520,Kyoto Crafts,3
SKU-B1293,Apparel,315.21,1683,32.0,274,Tokyo Electronics,12
SKU-C5764,Shipping,262.54,3622,68.0,636,Nagoya Parts,7
SKU-X1313,Home,364.95,,17.0,144,Fukuoka Logistics,19
SKU-C9761,office,USD 298.99,274,7.0,81,Tokyo Electronics,3
SKU-B1152,Food,USD 332.52,3176,85.0,904,Kyoto Crafts,25
SKU-A2741,Shipping,Quote Pending,3138,100.0,884,Fukuoka Logistics,9
SKU-Z8875,Food,$6.36,569,86.0,655,Fukuoka Logistics,21
 SKU-A5192 ,Apparel,231.09,114,38.0,336,Fukuoka Logistics,29
SKU-Z2898,Electronics,380.31,49,6.0,42,Sapporo Steel,23
SKU-A7105,Industrial,95.52,1424,52.0,509,Hokkaido Foods,29
SKU-A3171,Apparel,Quote Pending,1148,21.0,162,Nagoya Parts,18
SKU-A3140,Shipping,60.9,201,53.0,534,Kyoto Crafts,23
SKU-Y4669,Apparel,172.46,2485,67.0,791,Sapporo Steel,16
SKU-Y1894,Electronics,467.51,3322,65.0,841,Nagoya Parts,30
SKU-Y4648,Office,192.43,826,31.0,234,Nagoya Parts,21
SKU-Z1291,Electronics,209.11,3567,72.0,780,Kyoto Crafts,28
SKU-Z8474,Food,413.53,577,29.0,374,Hokkaido Foods,27
SKU-Z4633,Electronics,180.79,1436,82.0,1127,Hokkaido Foods,19
SKU-Z7704,Electronics,307.37,1278,25.0,196,Hokkaido Foods,9
SKU-Z3018,INDUSTRIAL,231.41,613,76.0,1040,Kyoto Crafts,18
SKU-B3845,Apparel,68.55,1818,50.0,580,Sapporo Steel,13
SKU-C7518,Food,229.16,650,18.0,143,Hokkaido Foods,26
SKU-Y4560,Home,313.96,2100,38.0,448,Fukuoka Logistics,7
SKU-C2890,Industrial,283.33,3002,75.0,824,Hokkaido Foods,16
SKU-A9564,Electronics,193.53,83,7.0,81,Tokyo Electronics,27
SKU-C4342,Industrial,20.99,3020,58.0,447,Osaka Supplies,26
SKU-Z5712,Apparel,,2812,49.0,475,Nagoya Parts,24
SKU-X4695,Apparel,Quote Pending,1574,48.0,589,Nagoya Parts,22
SKU-A4063,Home,259.35,820,49.0,356,Nagoya Parts,11
SKU-B1654,Home,300.46,3693 pcs,100.0,1352,Hokkaido Foods,24
SKU-Y4603,home,38.75,2118,65.0,527,Osaka Supplies,15
SKU-Y9691,Shipping,412.73,3371,,593,Osaka Supplies,17
SKU-C7248,Industrial,196.01,103,,844,Tokyo Electronics,19
SKU-Z4154,Food,Quote Pending,745,13.0,106,Osaka Supplies,20
SKU-Z7950,Industrial,106.76,4003,90.0,1183,Tokyo Electronics,16
SKU-C1620,Electronics,31.86,1138,33.0,359,Tokyo Electronics,10
SKU-X2938,Office,322.5,3580,80.0,595,Tokyo Electronics,4
SKU-C2417,Food,463.71,1942,49.0,478,Sapporo Steel,18
SKU-C3360,Food,USD 444.05,-5399,94.0,1084,Nagoya Parts,3
SKU-Y9970,Electronics,USD 108.98,1959,95.0,1265,Hokkaido Foods,16
SKU-C4183,Electronics,337.13,3729 pcs,73.0,946,Fukuoka Logistics,20
SKU-Z8982,Food,68.47,1437,84.0,725,Hokkaido Foods,5
SKU-Y3496,Office,185.42,414,41.0,562,Osaka Supplies,13
SKU-B6432,Shipping,225.45,3310,100.0,913,Kyoto Crafts,8
SKU-B5312,APPAREL,42.85,509,10.0,132,Nagoya Parts,23
SKU-Y9842,Shipping,388.72,2513,47.0,458,Nagoya Parts,21
SKU-Y1173,Apparel,424.75,3589,79.0,931,Fukuoka Logistics,7
SKU-Z8921,food,113.32,999,63.0,543,Tokyo Electronics,10
SKU-A1653,Apparel,Quote Pending,1099,67.0,766,Hokkaido Foods,26
SKU-Z2275,Office,191.28,-614,29.0,307,Hokkaido Foods,30
SKU-X3713,Home,259.7,403,36.0,305,Tokyo Electronics,14
SKU-A8889,Apparel,242.12,3800,76.0,617,Kyoto Crafts,3
SKU-Y3406,Electronics,132.84,583,24.0,254,Fukuoka Logistics,21
SKU-B8359,Office,Quote Pending,542,22.0,187,Kyoto Crafts,7
SKU-Z6614,Shipping,297.35,237,30.0,289,Osaka Supplies,3
SKU-A3906,Shipping,301.91,-486,69.0,726,Osaka Supplies,18
SKU-Z8069,Office,188.34,154,6.0,71,Kyoto Crafts,28
SKU-Z2600,Shipping,130.99,-5102,99.0,854,Fukuoka Logistics,12
SKU-A9561,Electronics,8.56,4053,84.0,708,Osaka Supplies,16
SKU-X6990,Office,495.94,1264,51.0,626,Hokkaido Foods,28
SKU-Y6641,Industrial,202.07,712,18.0,233,Nagoya Parts,26
SKU-C1852,Home,$482.46,49,1.0,12,Kyoto Crafts,18
SKU-A7296,Shipping,329.81,1326,37.0,443,Osaka Supplies,27
SKU-Y5685,Home,393.06,917,66.0,700,Tokyo Electronics,8
SKU-C7544,food,200.6,70,76.0,638,Nagoya Parts,25
SKU-C4707,Office,230.11,814,52.0,573,Fukuoka Logistics,16
SKU-Y5222,Office,397.73,1912,33.0,391,Sapporo Steel,21
SKU-Y1448,Shipping,132.62,2922,49.0,560,Tokyo Electronics,24
SKU-Z5314,Home,51.04,1785,87.0,1065,Hokkaido Foods,20
SKU-Z4115,Shipping,103.83,1512,95.0,825,Nagoya Parts,10
SKU-A9071,Office,383.3,3561,70.0,959,Tokyo Electronics,14
SKU-X3996,Industrial,143.73,223,29.0,355,Osaka Supplies,19
SKU-Z3863,Shipping,350.63,29,59.0,543,Tokyo Electronics,24
SKU-Y5306,Home,238.32,871,79.0,742,Hokkaido Foods,16
SKU-B3148,Office,USD 118.14,627,13.0,156,Nagoya Parts,20
SKU-A3893,Shipping,71.56,,81.0,860,Kyoto Crafts,28
SKU-B1983,Home,130.87,3618,,621,Sapporo Steel,11
SKU-A6752,Industrial,481.74,1013,26.0,286,Nagoya Parts,20
SKU-Z8322,Electronics,308.76,521,60.0,685,Kyoto Crafts,8
SKU-A2296,Home,117.97,1747,41.0,474,Hokkaido Foods,22
SKU-Y9535,Shipping,$87.82,42,3.0,23,Kyoto Crafts,11
SKU-A8752,Office,18.05,3047,51.0,544,Tokyo Electronics,6
SKU-B5655,Shipping,67.57,116,68.0,875,Nagoya Parts,24
SKU-C9987,Shipping,484.92,3190,90.0,969,Fukuoka Logistics,17
 SKU-C6688 ,Shipping,117.43,263,12.0,121,Osaka Supplies,11
SKU-C8687,Office,345.45,1803,63.0,858,Tokyo Electronics,3
SKU-B7745,Office,200.4,813,21.0,252,Kyoto Crafts,29
SKU-Y5454,Food,372.75,1792,35.0,346,Nagoya Parts,8
SKU-X4076,Food,80.31,4025,69.0,493,Tokyo Electronics,12
SKU-X4558,food,USD 159.23,1780,64.0,895,Kyoto Crafts,28
SKU-Y8702,Home,448.37,1639,33.0,419,Fukuoka Logistics,6
SKU-A4263,Shipping,386.64,837,,781,Nagoya Parts,15
SKU-Y9534,Electronics,243.21,2076,,327,Hokkaido Foods,30
